Category,Item,Calories
Coffee & Tea,Iced Tea (Small),0
Coffee & Tea,Iced Tea (Medium),0
Coffee & Tea,Iced Tea (Large),0
Coffee & Tea,Iced Tea (Child),0
Coffee & Tea,Sweet Tea (Small),150
Coffee & Tea,Sweet Tea (Medium),180
Coffee & Tea,Sweet Tea (Large),220
Coffee & Tea,Sweet Tea (Child),110
Coffee & Tea,Coffee (Small),0
Coffee & Tea,Coffee (Medium),0
Coffee & Tea,Coffee (Large),0
Coffee & Tea,Latte (Small),170
Coffee & Tea,Latte (Medium),210
Coffee & Tea,Latte (Large),280
Coffee & Tea,Caramel Latte (Small),270
Coffee & Tea,Caramel Latte (Medium),340
Coffee & Tea,Caramel Latte (Large),430
Coffee & Tea,Hazelnut Latte (Small),270
Coffee & Tea,Hazelnut Latte (Medium),330
Coffee & Tea,Hazelnut Latte (Large),430
Coffee & Tea,French Vanilla Latte (Small),260
Coffee & Tea,French Vanilla Latte (Medium),330
Coffee & Tea,French Vanilla Latte (Large),420
Coffee & Tea,Latte with Sugar Free French Vanilla Syrup (Small),210
Coffee & Tea,Latte with Sugar Free French Vanilla Syrup (Medium),260
Coffee & Tea,Latte with Sugar Free French Vanilla Syrup (Large),330
Coffee & Tea,Nonfat Latte (Small),100
Coffee & Tea,Nonfat Latte (Medium),130
Coffee & Tea,Nonfat Latte (Large),170
Coffee & Tea,Nonfat Caramel Latte (Small),200
Coffee & Tea,Nonfat Caramel Latte (Medium),250
Coffee & Tea,Nonfat Caramel Latte (Large),310
Coffee & Tea,Nonfat Hazelnut Latte (Small),200
Coffee & Tea,Nonfat Hazelnut Latte (Medium),250
Coffee & Tea,Nonfat Hazelnut Latte (Large),310
Coffee & Tea,Nonfat French Vanilla Latte (Small),190
Coffee & Tea,Nonfat French Vanilla Latte (Medium),240
Coffee & Tea,Nonfat French Vanilla Latte (Large),300
Coffee & Tea,Nonfat Latte with Sugar Free French Vanilla Syrup (Small),140
Coffee & Tea,Nonfat Latte with Sugar Free French Vanilla Syrup (Medium),170
Coffee & Tea,Nonfat Latte with Sugar Free French Vanilla Syrup (Large),220
Coffee & Tea,Mocha (Small),340
Coffee & Tea,Mocha (Medium),410
Coffee & Tea,Mocha (Large),500
Coffee & Tea,Mocha with Nonfat Milk (Small),270
Coffee & Tea,Mocha with Nonfat Milk (Medium),330
Coffee & Tea,Mocha with Nonfat Milk (Large),390
Coffee & Tea,Caramel Mocha (Small),320
Coffee & Tea,Caramel Mocha (Medium),390
Coffee & Tea,Caramel Mocha (Large),480
Coffee & Tea,Nonfat Caramel Mocha (Small),250
Coffee & Tea,Nonfat Caramel Mocha (Medium),310
Coffee & Tea,Nonfat Caramel Mocha (Large),370
Coffee & Tea,Hot Chocolate (Small),360
Coffee & Tea,Hot Chocolate (Medium),440
Coffee & Tea,Hot Chocolate (Large),540
Coffee & Tea,Hot Chocolate with Nonfat Milk (Small),280
Coffee & Tea,Hot Chocolate with Nonfat Milk (Medium),340
Coffee & Tea,Hot Chocolate with Nonfat Milk (Large),400
Coffee & Tea,Regular Iced Coffee (Small),140
Coffee & Tea,Regular Iced Coffee (Medium),190
Coffee & Tea,Regular Iced Coffee (Large),270
Coffee & Tea,Caramel Iced Coffee (Small),130
Coffee & Tea,Caramel Iced Coffee (Medium),180
Coffee & Tea,Caramel Iced Coffee (Large),260
Coffee & Tea,Hazelnut Iced Coffee (Small),130
Coffee & Tea,Hazelnut Iced Coffee (Medium),180
Coffee & Tea,Hazelnut Iced Coffee (Large),250
Coffee & Tea,French Vanilla Iced Coffee (Small),120
Coffee & Tea,French Vanilla Iced Coffee (Medium),170
Coffee & Tea,French Vanilla Iced Coffee (Large),240
Coffee & Tea,Iced Coffee with Sugar Free French Vanilla Syrup (Small),80
Coffee & Tea,Iced Coffee with Sugar Free French Vanilla Syrup (Medium),120
Coffee & Tea,Iced Coffee with Sugar Free French Vanilla Syrup (Large),160
Coffee & Tea,Iced Mocha (Small),290
Coffee & Tea,Iced Mocha (Medium),350
Coffee & Tea,Iced Mocha (Large),480
Coffee & Tea,Iced Mocha with Nonfat Milk (Small),240
Coffee & Tea,Iced Mocha with Nonfat Milk (Medium),290
Coffee & Tea,Iced Mocha with Nonfat Milk (Large),390
Coffee & Tea,Iced Caramel Mocha (Small),280
Coffee & Tea,Iced Caramel Mocha (Medium),340
Coffee & Tea,Iced Caramel Mocha (Large),460
Coffee & Tea,Iced Nonfat Caramel Mocha (Small),230
Coffee & Tea,Iced Nonfat Caramel Mocha (Medium),270
Coffee & Tea,Iced Nonfat Caramel Mocha (Large),370
Coffee & Tea,Frappé Mocha (Small),450
Coffee & Tea,Frappé Mocha (Medium),550
Coffee & Tea,Frappé Mocha (Large),670
Coffee & Tea,Frappé Caramel (Small),450
Coffee & Tea,Frappé Caramel (Medium),550
Coffee & Tea,Frappé Caramel (Large),670
Coffee & Tea,Frappé Chocolate Chip (Small),530
Coffee & Tea,Frappé Chocolate Chip (Medium),630
Coffee & Tea,Frappé Chocolate Chip (Large),760
Smoothies & Shakes,Blueberry Pomegranate Smoothie (Small),220
Smoothies & Shakes,Blueberry Pomegranate Smoothie (Medium),260
Smoothies & Shakes,Blueberry Pomegranate Smoothie (Large),340
Smoothies & Shakes,Strawberry Banana Smoothie (Small),210
Smoothies & Shakes,Strawberry Banana Smoothie (Medium),250
Smoothies & Shakes,Strawberry Banana Smoothie (Large),330
Smoothies & Shakes,Mango Pineapple Smoothie (Small),210
Smoothies & Shakes,Mango Pineapple Smoothie (Medium),260
Smoothies & Shakes,Mango Pineapple Smoothie (Large),340
Smoothies & Shakes,Vanilla Shake (Small),530
Smoothies & Shakes,Vanilla Shake (Medium),660
Smoothies & Shakes,Vanilla Shake (Large),820
Smoothies & Shakes,Strawberry Shake (Small),550
Smoothies & Shakes,Strawberry Shake (Medium),690
Smoothies & Shakes,Strawberry Shake (Large),850
Smoothies & Shakes,Chocolate Shake (Small),560
Smoothies & Shakes,Chocolate Shake (Medium),700
Smoothies & Shakes,Chocolate Shake (Large),850
Smoothies & Shakes,Shamrock Shake (Medium),660
Smoothies & Shakes,Shamrock Shake (Large),820